Provincias;Ramas de actividad;periodo;Total
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;8.475.070
02 Albacete;A. Agricultura, ganadería, silvicultura y pesca;2019;791.464
02 Albacete;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2019;1.207.915
02 Albacete;C. - De las cuales: Industria manufacturera;2019;918.972
02 Albacete;F. Construcción;2019;497.842
02 Albacete;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2019;1.646.811
02 Albacete;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2019;1.389.258
02 Albacete;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2019;2.153.181
02 Albacete;Valor añadido bruto total;2019;7.686.471
02 Albacete;Impuestos netos sobre los productos;2019;788.599
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;8.475.070
03 Alicante/Alacant;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;37.366.493
03 Alicante/Alacant;A. Agricultura, ganadería, silvicultura y pesca;2019;576.207
03 Alicante/Alacant;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2019;3.280.477
03 Alicante/Alacant;C. - De las cuales: Industria manufacturera;2019;2.686.800
03 Alicante/Alacant;F. Construcción;2019;2.867.928
03 Alicante/Alacant;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2019;10.227.248
03 Alicante/Alacant;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2019;8.710.933
03 Alicante/Alacant;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2019;8.226.777
03 Alicante/Alacant;Valor añadido bruto total;2019;33.889.570
03 Alicante/Alacant;Impuestos netos sobre los productos;2019;3.476.923
03 Alicante/Alacant;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;37.366.493
04 Almería;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;15.813.933
04 Almería;A. Agricultura, ganadería, silvicultura y pesca;2019;2.400.114
04 Almería;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2019;1.416.242
04 Almería;C. - De las cuales: Industria manufacturera;2019;996.328
04 Almería;F. Construcción;2019;774.405
04 Almería;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2019;4.017.874
04 Almería;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2019;2.726.384
04 Almería;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2019;3.007.440
04 Almería;Valor añadido bruto total;2019;14.342.459
04 Almería;Impuestos netos sobre los productos;2019;1.471.474
04 Almería;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;15.813.933
01 Araba/Álava;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;12.813.401
01 Araba/Álava;A. Agricultura, ganadería, silvicultura y pesca;2019;212.839
01 Araba/Álava;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2019;3.781.684
01 Araba/Álava;C. - De las cuales: Industria manufacturera;2019;3.588.690
01 Araba/Álava;F. Construcción;2019;518.235
01 Araba/Álava;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2019;1.961.560
01 Araba/Álava;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2019;2.392.190
