Provincias;Ramas de actividad;periodo;Total
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);8.663.814
02 Albacete;A. Agricultura, ganadería, silvicultura y pesca;2021(P);884.324
02 Albacete;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2021(P);1.397.006
02 Albacete;C. - De las cuales: Industria manufacturera;2021(P);1.018.831
02 Albacete;F. Construcción;2021(P);465.911
02 Albacete;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2021(P);1.559.382
02 Albacete;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2021(P);1.440.261
02 Albacete;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2021(P);2.091.603
02 Albacete;Valor añadido bruto total;2021(P);7.838.487
02 Albacete;Impuestos netos sobre los productos;2021(P);825.327
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);8.663.814
03 Alicante/Alacant;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);37.279.735
03 Alicante/Alacant;A. Agricultura, ganadería, silvicultura y pesca;2021(P);547.312
03 Alicante/Alacant;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2021(P);3.627.964
03 Alicante/Alacant;C. - De las cuales: Industria manufacturera;2021(P);2.916.222
03 Alicante/Alacant;F. Construcción;2021(P);2.556.047
03 Alicante/Alacant;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2021(P);9.851.680
03 Alicante/Alacant;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2021(P);8.929.332
03 Alicante/Alacant;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2021(P);8.216.082
03 Alicante/Alacant;Valor añadido bruto total;2021(P);33.728.417
03 Alicante/Alacant;Impuestos netos sobre los productos;2021(P);3.551.318
03 Alicante/Alacant;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);37.279.735
04 Almería;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);15.659.622
04 Almería;A. Agricultura, ganadería, silvicultura y pesca;2021(P);2.443.690
04 Almería;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2021(P);1.348.695
04 Almería;C. - De las cuales: Industria manufacturera;2021(P);1.020.119
04 Almería;F. Construcción;2021(P);723.957
04 Almería;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2021(P);3.793.774
