grupo_edad,origen,sexo,year,total,provincia_id
16-64 años,Extranjeros,Hombres,2020,369365.0,08
16-64 años,Extranjeros,Mujeres,2020,349893.0,08
65 y más,Españoles,Hombres,2020,446745.0,08
65 y más,Españoles,Mujeres,2020,609089.0,08
65 y más,Extranjeros,Hombres,2020,13124.0,08
65 y más,Extranjeros,Mujeres,2020,18381.0,08
0-15 años,Españoles,Hombres,2020,75820.0,48
0-15 años,Españoles,Mujeres,2020,71793.0,48
0-15 años,Extranjeros,Hombres,2020,6671.0,48
0-15 años,Extranjeros,Mujeres,2020,6109.0,48
16-64 años,Españoles,Hombres,2020,329974.0,48
16-64 años,Españoles,Mujeres,2020,330830.0,48
16-64 años,Extranjeros,Hombres,2020,35887.0,48
16-64 años,Extranjeros,Mujeres,2020,36621.0,48
65 y más,Españoles,Hombres,2020,110539.0,48
65 y más,Españoles,Mujeres,2020,152936.0,48
65 y más,Extranjeros,Hombres,2020,907.0,48
65 y más,Extranjeros,Mujeres,2020,1356.0,48
0-15 años,Españoles,Hombres,2020,22755.0,09
0-15 años,Españoles,Mujeres,2020,21490.0,09
0-15 años,Extranjeros,Hombres,2020,2408.0,09
0-15 años,Extranjeros,Mujeres,2020,2320.0,09
16-64 años,Españoles,Hombres,2020,103064.0,09
16-64 años,Españoles,Mujeres,2020,96836.0,09
16-64 años,Extranjeros,Hombres,2020,11427.0,09
16-64 años,Extranjeros,Mujeres,2020,11561.0,09
65 y más,Españoles,Hombres,2020,38514.0,09
65 y más,Españoles,Mujeres,2020,46365.0,09
65 y más,Extranjeros,Hombres,2020,410.0,09
65 y más,Extranjeros,Mujeres,2020,500.0,09
0-15 años,Españoles,Hombres,2020,25044.0,10
0-15 años,Españoles,Mujeres,2020,23815.0,10
0-15 años,Extranjeros,Hombres,2020,1103.0,10
0-15 años,Extranjeros,Mujeres,2020,1043.0,10
16-64 años,Españoles,Hombres,2020,122407.0,10
16-64 años,Españoles,Mujeres,2020,116563.0,10
16-64 años,Extranjeros,Hombres,2020,5280.0,10
16-64 años,Extranjeros,Mujeres,2020,5341.0,10
65 y más,Españoles,Hombres,2020,39810.0,10
65 y más,Españoles,Mujeres,2020,50574.0,10
65 y más,Extranjeros,Hombres,2020,440.0,10
65 y más,Extranjeros,Mujeres,2020,430.0,10
0-15 años,Españoles,Hombres,2020,103829.0,11
0-15 años,Españoles,Mujeres,2020,97682.0,11
0-15 años,Extranjeros,Hombres,2020,3636.0,11
0-15 años,Extranjeros,Mujeres,2020,3580.0,11
16-64 años,Españoles,Hombres,2020,395194.0,11
16-64 años,Españoles,Mujeres,2020,392676.0,11
16-64 años,Extranjeros,Hombres,2020,18810.0,11
16-64 años,Extranjeros,Mujeres,2020,19250.0,11
65 y más,Españoles,Hombres,2020,89931.0,11
65 y más,Españoles,Mujeres,2020,115267.0,11
65 y más,Extranjeros,Hombres,2020,2161.0,11
65 y más,Extranjeros,Mujeres,2020,2033.0,11
0-15 años,Españoles,Hombres,2020,39084.0,39
0-15 años,Españoles,Mujeres,2020,37283.0,39
0-15 años,Extranjeros,Hombres,2020,2615.0,39
0-15 años,Extranjeros,Mujeres,2020,2539.0,39
16-64 años,Españoles,Hombres,2020,171882.0,39
16-64 años,Españoles,Mujeres,2020,171035.0,39
16-64 años,Extranjeros,Hombres,2020,13819.0,39
16-64 años,Extranjeros,Mujeres,2020,15223.0,39
65 y más,Españoles,Hombres,2020,54491.0,39
65 y más,Españoles,Mujeres,2020,73234.0,39
65 y más,Extranjeros,Hombres,2020,668.0,39
65 y más,Extranjeros,Mujeres,2020,1032.0,39
0-15 años,Españoles,Hombres,2020,39596.0,12
0-15 años,Españoles,Mujeres,2020,37281.0,12
0-15 años,Extranjeros,Hombres,2020,8213.0,12
0-15 años,Extranjeros,Mujeres,2020,7416.0,12
16-64 años,Españoles,Hombres,2020,158997.0,12
16-64 años,Españoles,Mujeres,2020,152661.0,12
16-64 años,Extranjeros,Hombres,2020,33587.0,12
16-64 años,Extranjeros,Mujeres,2020,34527.0,12
65 y más,Españoles,Hombres,2020,48030.0,12
65 y más,Españoles,Mujeres,2020,60033.0,12
65 y más,Extranjeros,Hombres,2020,2376.0,12
65 y más,Extranjeros,Mujeres,2020,2873.0,12
0-15 años,Españoles,Hombres,2020,35290.0,13
0-15 años,Españoles,Mujeres,2020,33501.0,13
0-15 años,Extranjeros,Hombres,2020,2868.0,13
0-15 años,Extranjeros,Mujeres,2020,2668.0,13
16-64 años,Españoles,Hombres,2020,150541.0,13
16-64 años,Españoles,Mujeres,2020,144851.0,13
16-64 años,Extranjeros,Hombres,2020,12612.0,13
16-64 años,Extranjeros,Mujeres,2020,12018.0,13
65 y más,Españoles,Hombres,2020,43184.0,13
65 y más,Españoles,Mujeres,2020,56655.0,13
65 y más,Extranjeros,Hombres,2020,347.0,13
65 y más,Extranjeros,Mujeres,2020,510.0,13
0-15 años,Españoles,Hombres,2020,60452.0,14
0-15 años,Españoles,Mujeres,2020,56893.0,14
0-15 años,Extranjeros,Hombres,2020,1826.0,14
0-15 años,Extranjeros,Mujeres,2020,1697.0,14
16-64 años,Españoles,Hombres,2020,247127.0,14
16-64 años,Españoles,Mujeres,2020,242985.0,14
16-64 años,Extranjeros,Hombres,2020,8340.0,14
