categories,year,total,provincia_id,region_id
"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,651021.0,05,8
"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,929911.0,05,8
Valor añadido bruto total,2020,2807189.0,05,8
Impuestos netos sobre los productos,2020,269215.0,05,8
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,3076404.0,05,8
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,11638254.0,06,16
"A. Agricultura, ganadería, silvicultura y pesca",2020,828169.0,06,16
"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,1284940.0,06,16
C. - De las cuales: Industria manufacturera,2020,880772.0,06,16
F. Construcción,2020,656761.0,06,16
"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,1925604.0,06,16
"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,2284369.0,06,16
"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,3639953.0,06,16
Valor añadido bruto total,2020,10619796.0,06,16
Impuestos netos sobre los productos,2020,1018458.0,06,16
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,11638254.0,06,16
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,26198090.0,07,8743
"A. Agricultura, ganadería, silvicultura y pesca",2020,148537.0,07,8743
"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,1674865.0,07,8743
C. - De las cuales: Industria manufacturera,2020,739139.0,07,8743
F. Construcción,2020,2151854.0,07,8743
"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,6310676.0,07,8743
"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,7758796.0,07,8743
"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,5860780.0,07,8743
Valor añadido bruto total,2020,23905508.0,07,8743
Impuestos netos sobre los productos,2020,2292582.0,07,8743
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,26198090.0,07,8743
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,160180344.0,08,9
"A. Agricultura, ganadería, silvicultura y pesca",2020,823535.0,08,9
"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,29055554.0,08,9
C. - De las cuales: Industria manufacturera,2020,25263528.0,08,9
F. Construcción,2020,7182337.0,08,9
"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,36678272.0,08,9
"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,41181032.0,08,9
